id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
1825,11439,5329,2,2023-09-22 06:50:18 UTC,2023-09-22 06:50:18 UTC,,
1827,11430,5387,1,2023-09-22 07:09:41 UTC,2023-09-22 07:09:41 UTC,,
1828,11409,5374,1,2023-09-22 07:14:04 UTC,2023-09-22 07:14:04 UTC,,
1835,11446,5396,1,2023-09-22 09:32:03 UTC,2023-09-22 09:32:03 UTC,,
1845,11457,5387,2,2023-09-22 11:48:44 UTC,2023-09-22 11:48:44 UTC,,
1849,11465,5405,1,2023-09-22 13:45:51 UTC,2023-09-22 13:45:51 UTC,,
1850,11464,5404,1,2023-09-22 13:48:45 UTC,2023-09-22 13:48:45 UTC,,
1858,11469,5393,2,2023-09-22 17:23:18 UTC,2023-09-22 17:23:18 UTC,,
1868,11481,5417,1,2023-09-23 06:07:09 UTC,2023-09-23 06:07:09 UTC,,
1869,11483,5418,1,2023-09-23 06:10:18 UTC,2023-09-23 06:10:18 UTC,,
1888,11459,5399,1,2023-09-23 15:45:18 UTC,2023-09-23 15:45:18 UTC,,
1889,11431,5388,1,2023-09-23 15:46:00 UTC,2023-09-23 15:46:00 UTC,,
1917,11560,5457,1,2023-09-25 05:10:50 UTC,2023-09-25 05:10:50 UTC,,
1918,11555,5454,1,2023-09-25 05:16:04 UTC,2023-09-25 05:16:04 UTC,,
1919,11552,5452,1,2023-09-25 05:16:48 UTC,2023-09-25 05:16:48 UTC,,
1920,11472,5409,1,2023-09-25 05:23:14 UTC,2023-09-25 05:23:14 UTC,,
1937,11358,4836,6,2023-09-25 08:38:48 UTC,2023-09-25 08:38:48 UTC,,
1940,11570,5464,1,2023-09-25 09:19:22 UTC,2023-09-25 09:19:22 UTC,,
1941,11575,5467,1,2023-09-25 09:32:28 UTC,2023-09-25 09:32:28 UTC,,
1946,11583,5464,3,2023-09-25 10:37:07 UTC,2023-09-25 10:37:07 UTC,,
1950,11587,5467,3,2023-09-25 12:25:37 UTC,2023-09-25 12:25:37 UTC,,
1956,11592,5476,1,2023-09-25 13:05:54 UTC,2023-09-25 13:05:54 UTC,,
1980,11636,5495,1,2023-09-26 07:15:46 UTC,2023-09-26 07:15:46 UTC,,
1983,11620,5467,5,2023-09-26 07:45:56 UTC,2023-09-26 07:45:56 UTC,,
2007,11651,5505,1,2023-09-26 14:08:36 UTC,2023-09-26 14:08:36 UTC,,
2016,11155,5221,1,2023-09-26 18:57:16 UTC,2023-09-26 18:57:16 UTC,2023-09-26 18:57:24 UTC,self
2017,11657,5510,1,2023-09-26 18:58:38 UTC,2023-09-26 18:58:38 UTC,,
2018,11655,5508,1,2023-09-26 19:09:52 UTC,2023-09-26 19:09:52 UTC,,
2019,11622,5485,1,2023-09-26 19:12:42 UTC,2023-09-26 19:12:42 UTC,,
2044,11687,5523,1,2023-09-27 11:46:08 UTC,2023-09-27 11:46:08 UTC,,
2047,11691,5464,4,2023-09-27 15:13:08 UTC,2023-09-27 15:13:08 UTC,,
2050,11678,5517,1,2023-09-27 19:26:34 UTC,2023-09-27 19:26:34 UTC,,
2053,11692,5418,2,2023-09-28 08:32:16 UTC,2023-09-28 08:32:16 UTC,,
