visited_at,posts_read,mobile,time_read
2024-10-28,5,true,1115
2024-10-29,8,true,1123
2024-10-30,3,true,648
2024-10-31,10,true,3073
2024-11-01,4,true,1461
2024-11-02,2,true,883
2024-11-03,2,true,625
2024-11-04,0,false,38
2024-11-05,2,true,1537
2024-11-06,6,true,286
2024-11-07,5,true,1747
2024-11-08,8,true,1949
2024-11-09,2,true,169
2024-11-10,0,false,210
2024-11-11,8,true,2489
2024-11-12,6,true,1848
2024-11-13,1,true,1929
2024-11-14,30,true,5664
2024-11-15,9,true,3167
2024-11-16,4,true,424
2024-11-17,7,true,3772
2024-11-18,1,true,1331
2024-11-19,3,false,100
2024-11-20,6,true,452
2024-11-21,6,true,2035
2024-11-22,1,true,399
2024-11-23,2,true,501
2024-11-24,2,true,97
2024-11-25,2,false,3117
2024-11-26,0,false,182
2024-11-27,1,true,60
2024-11-28,10,true,1390
2024-11-29,0,false,68
2024-11-30,0,false,545
2024-12-01,0,false,0
2024-12-02,1,true,120
2024-12-03,2,true,1568
2024-12-04,1,true,352
2024-12-05,4,true,678
2024-12-06,1,true,313
2024-12-07,1,true,2537
2024-12-08,3,true,1328
2024-12-09,5,true,3329
2024-12-10,4,true,1504
2024-12-11,1,true,1077
2024-12-12,6,true,981
2024-12-13,1,true,62
2024-12-14,0,false,0
2024-12-15,1,true,0
2024-12-16,3,true,1953
2024-12-17,1,true,65
2024-12-18,10,true,1904
2024-12-19,0,false,1203
2024-12-20,2,true,632
2024-12-21,1,true,159
2024-12-22,7,true,272
2024-12-23,5,true,1009
2024-12-24,9,true,1363
2024-12-25,7,true,2902
2024-12-26,0,false,4854
2024-12-27,5,true,2981
2024-12-28,3,true,2110
2024-12-29,7,true,2119
2024-12-30,1,true,2210
2024-12-31,3,true,659
2025-01-01,1,false,1095
2025-01-02,4,true,1002
2025-01-03,7,true,1820
2025-01-04,1,false,1190
2025-01-05,6,true,3492
2025-01-06,8,false,2334
2025-01-07,5,true,2517
2025-01-08,2,true,275
2025-01-09,2,false,715
2025-01-10,1,true,1657
2025-01-11,1,false,434
2025-01-12,3,false,602
2025-01-13,5,true,1489
2025-01-14,10,true,706
2025-01-15,3,true,994
2025-01-16,4,true,659
2025-01-17,10,true,1978
2025-01-18,9,true,1323
2025-01-19,7,true,583
